Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#xml                   0.0           0           0         0.0           2
inspectionrecord$DefectType.browse@defectTypesDs        14.5          12          17         2.5           4
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           7
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           7
inspectionrecord$Department.browse#load                 11.6           8          23         5.0           7
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           7
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           7
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           7
inspectionrecord$Department.browse@departmentsDs       138.4         129         157         8.4           7

Performance Statistics   2017-10-25 21:22:00 - 2017-10-25 21:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                  0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#inject                0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#load                 32.0          32          32         0.0           1
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#xml                   0.0           0           0         0.0           1
inspectionrecord$DefectType.browse@defectTypesDs       150.0         150         150         0.0           1
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           2
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           2
inspectionrecord$Department.browse#load                 11.5           9          14         2.5           2
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           2
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           2
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           2
inspectionrecord$Department.browse@departmentsDs       136.5         132         141         4.5           2

Performance Statistics   2017-10-25 21:24:00 - 2017-10-25 21:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           2
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           2
inspectionrecord$Department.browse#load                 13.0          12          14         1.0           2
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           2
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           2
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           2
inspectionrecord$Department.browse@departmentsDs       133.0         130         136         3.0           2
inspectionrecord$HtDept.browse#init                      0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#inject                    0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#load                     16.0          10          22         6.0           2
inspectionrecord$HtDept.browse#ready                     0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#uiPermissions             0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#xml                       0.0           0           0         0.0           2
inspectionrecord$HtDept.browse@htDeptsDs               176.0         175         177         1.0           2

Performance Statistics   2017-10-25 21:26:00 - 2017-10-25 21:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:28:00 - 2017-10-25 21:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                  0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#inject                0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#load                 27.0          27          27         0.0           1
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#xml                   0.0           0           0         0.0           1
inspectionrecord$DefectType.browse@defectTypesDs       149.0         149         149         0.0           1
loginWindow#init                                         0.0           0           0         0.0           2
loginWindow#inject                                       0.0           0           0         0.0           2
loginWindow#load                                         9.5           5          14         4.5           2
loginWindow#ready                                        0.0           0           0         0.0           2
loginWindow#uiPermissions                                0.0           0           0         0.0           2
loginWindow#xml                                          0.0           0           0         0.0           2
mainWindow#init                                          0.0           0           0         0.0           1
mainWindow#inject                                        0.0           0           0         0.0           1
mainWindow#load                                         15.0          15          15         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           0.0           0           0         0.0           1

Performance Statistics   2017-10-25 21:30:00 - 2017-10-25 21:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           7
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           7
inspectionrecord$Department.browse#load                 13.7           7          20         4.7           7
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           7
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           7
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           7
inspectionrecord$Department.browse@departmentsDs       143.7         132         155         7.9           7
inspectionrecord$HtDept.browse#init                      0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#inject                    0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#load                     13.5          10          17         3.5           2
inspectionrecord$HtDept.browse#ready                     0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#uiPermissions             0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#xml                       0.0           0           0         0.0           2
inspectionrecord$HtDept.browse@htDeptsDs               188.0         184         192         4.0           2

Performance Statistics   2017-10-25 21:32:00 - 2017-10-25 21:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                  0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#inject                0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#load                 18.0          14          23         3.7           3
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#xml                   0.0           0           0         0.0           3
inspectionrecord$DefectType.browse@defectTypesDs       139.7         138         141         1.2           3
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           2
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           2
inspectionrecord$Department.browse#load                  9.5           8          11         1.5           2
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           2
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           2
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           2
inspectionrecord$Department.browse@departmentsDs       140.5         138         143         2.5           2
inspectionrecord$Employee.browse#init                    0.0           0           0         0.0           1
