Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          40
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          40
QueryParser.getParamNames()                              0.0           0           1         0.1          67
QueryParser.hasIsNullCondition(..)                       0.0           0           1         0.2          29
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          29

Performance Statistics   2017-10-25 21:20:00 - 2017-10-25 21:21:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           8
MenuItem.inspectionrecord$DefectType.browse             71.0          71          71         0.0           1
Messages.searchClasspath                                 0.0           0           0         0.0           8
Messages.searchFiles                                     0.0           0           0         0.0           8
PersistenceSecurity.applyConstraints(..)                 0.4           0           7         1.4          25
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           1
QueryParser.getEntityAlias()                             0.0           0           0         0.0          19
QueryParser.getEntityName()                              0.0           0           0         0.0          62
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          37
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          37
QueryParser.getParamNames()                              0.0           0           0         0.0          62
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0          27
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          27

Performance Statistics   2017-10-25 21:21:00 - 2017-10-25 21:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0          10
MenuItem.inspectionrecord$DefectType.browse             48.0          48          48         0.0           1
PersistenceSecurity.applyConstraints(..)                 0.3           0           4         0.8          33
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           2
QueryParser.getEntityAlias()                             0.1           0           1         0.3          29
QueryParser.getEntityName()                              0.0           0           1         0.2          87
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          54
